what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1250009326125
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1250009326937
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1250009329468
executed,command,org.python.pydev,1.4.7.2843,org.python.pydev.editor.actions.firstChar,1250009331218
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1250009335562
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1250009335734
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1250009336031
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1250009336343
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1250009336718
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1250009340328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1250009343812
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1250009348453
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.TaskList,1250009349125
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250009361843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250009361843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250009361937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250009369343
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250009371906
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250009385000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250009386890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250009387859
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1250009390781
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250009396906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250009398546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250009398546
