what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1250016770140
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1250016834625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250016844156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250016844156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250016844250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250016854281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250016855500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250016856828
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1250016856843
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1250016856875
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1250016856906
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1250016856906
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250016857015
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1250016857296
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1250016857296
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1250016857296
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1250016857296
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1250016857296
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1250016857296
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1250016857296
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1250016857296
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1250016857296
stopped,bundle,org.eclipse.birt.report.debug.ui,2.3.1.v20080911,org.eclipse.birt.report.debug.ui,1250016857296
stopped,bundle,org.eclipse.birt.chart.reportitem.ui,2.3.1.v20080911,org.eclipse.birt.chart.reportitem.ui,1250016857296
stopped,bundle,org.eclipse.birt.report.item.crosstab.ui,2.3.1.v20080905,org.eclipse.birt.report.item.crosstab.ui,1250016857296
