what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250015616265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250015672234
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250015795078
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1250015805968
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250015836453
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1250015841078
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1250015841437
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1250015844203
executed,command,org.python.pydev,1.4.7.2843,org.python.pydev.editor.actions.firstChar,1250015846390
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1250015857671
opened,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250015871750
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250015871781
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.window.newEditor,1250015871781
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250015926203
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250015926453
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250015927093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250015927437
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250015928078
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1250015929453
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1250015964718
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1250015985890
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250016000937
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250016013578
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250016013750
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250016013875
