what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250105022203
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250105022625
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250105038375
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250105038515
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250105038671
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250105038812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250105038984
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250105039156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250105052703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250105078171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250105106656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250108035046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250108037015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250108038156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250108038171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250108043765
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250108043859
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1250108044046
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1250108044046
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1250108044046
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1250108044046
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1250108044046
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1250108044046
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1250108044046
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1250108044046
