what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1250009920796
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250009931000
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1250009940515
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250009949078
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1250009978468
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1250009987656
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250010005796
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1250010013609
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1250010014609
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1250010018281
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1250010019734
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1250010028046
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1250010052562
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250010076515
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250010096109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010097484
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1250010097500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010100250
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1250010110468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010115265
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010117046
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1250010119671
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250010119812
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1250010125203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010125203
