what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010309718
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1250010312703
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1250010314031
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250010324718
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1250010350171
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1250010356031
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1250010356625
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1250010368500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010370656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010372171
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250010395359
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1250010438093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010522640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010522640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010522765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010564125
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250010566750
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250010571125
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1250010571468
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1250010572671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010582140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250010583312
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1250010586734
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1250010594265
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1250010597187
