what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.3.v200809102124,org.eclipse.wst.common.project.facet.core,1250177089875
started,bundle,org.python.pydev,1.4.7.2843,org.python.pydev,1250177089875
started,bundle,org.python.pydev.core,1.4.7.2843,org.python.pydev.core,1250177089875
started,bundle,org.python.pydev.debug,1.4.7.2843,org.python.pydev.debug,1250177089875
started,bundle,org.python.pydev.jython,1.4.7.2843,org.python.pydev.jython,1250177089875
started,bundle,org.python.pydev.parser,1.4.7.2843,org.python.pydev.parser,1250177089875
started,bundle,org.eclipse.datatools.sqltools.parsers.sql.query,1.0.1.v200808140615,org.eclipse.datatools.sqltools.parsers.sql.query,1250177089875
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.core,1250177089921
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.ui,1250177089937
started,bundle,org.eclipse.ui.forms,3.3.101.v20080708_34x,org.eclipse.ui.forms,1250177089984
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1250177090078
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1250177090078
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1250177090078
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1250177090140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250177100078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250177101546
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1250177101671
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1250177102109
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1250177102109
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1250177102109
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1250177102109
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1250177102109
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1250177102109
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1250177102109
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1250177102109
